id,name,type
1,"Hà Nội","Thành phố"
2,"Hà Giang",Tỉnh
3,"Cao Bằng",Tỉnh
4,"Bắc Kạn",Tỉnh
5,"Tuyên Quang",Tỉnh
6,"Lào Cai",Tỉnh
7,"Điện Biên",Tỉnh
8,"Lai Châu",Tỉnh
9,"Sơn La",Tỉnh
10,"Yên Bái",Tỉnh
11,"Hoà Bình",Tỉnh
12,"Thái Nguyên",Tỉnh
13,"Lạng Sơn",Tỉnh
14,"Quảng Ninh",Tỉnh
15,"Bắc Giang",Tỉnh
16,"Phú Thọ",Tỉnh
17,"Vĩnh Phúc",Tỉnh
18,"Bắc Ninh",Tỉnh
19,"Hải Dương",Tỉnh
20,"Hải Phòng","Thành phố"
21,"Hưng Yên",Tỉnh
22,"Thái Bình",Tỉnh
23,"Hà Nam",Tỉnh
24,"Nam Định",Tỉnh
25,"Ninh Bình",Tỉnh
26,"Thanh Hóa",Tỉnh
27,"Nghệ An",Tỉnh
28,"Hà Tĩnh",Tỉnh
29,"Quảng Bình",Tỉnh
30,"Quảng Trị",Tỉnh
31,"Thừa Thiên Huế",Tỉnh
32,"Đà Nẵng","Thành phố"
33,"Quảng Nam",Tỉnh
34,"Quảng Ngãi",Tỉnh
35,"Bình Định",Tỉnh
36,"Phú Yên",Tỉnh
37,"Khánh Hòa",Tỉnh
38,"Ninh Thuận",Tỉnh
39,"Bình Thuận",Tỉnh
40,"Kon Tum",Tỉnh
41,"Gia Lai",Tỉnh
42,"Đắk Lắk",Tỉnh
43,"Đắk Nông",Tỉnh
44,"Lâm Đồng",Tỉnh
45,"Bình Phước",Tỉnh
46,"Tây Ninh",Tỉnh
47,"Bình Dương",Tỉnh
48,"Đồng Nai",Tỉnh
49,"Bà Rịa - Vũng Tàu",Tỉnh
50,"Hồ Chí Minh","Thành phố"
51,"Long An",Tỉnh
52,"Tiền Giang",Tỉnh
53,"Bến Tre",Tỉnh
54,"Trà Vinh",Tỉnh
55,"Vĩnh Long",Tỉnh
56,"Đồng Tháp",Tỉnh
57,"An Giang",Tỉnh
58,"Kiên Giang",Tỉnh
59,"Cần Thơ","Thành phố"
60,"Hậu Giang",Tỉnh
61,"Sóc Trăng",Tỉnh
62,"Bạc Liêu",Tỉnh
63,"Cà Mau",Tỉnh
